date,capital,daily_pnl,regime,pnl_chronos,weight_chronos,pnl_deep_ofi,weight_deep_ofi,pnl_kalman,weight_kalman
2025-07-07 00:00:00+00:00,1003.2230535269666,3.2230535269666394,BULL_TREND,2.1955148668054236,0.35751046187063723,84.97836529788515,0.37193724631956193,51.09476409155035,0.27055229180980084
2025-07-08 00:00:00+00:00,1002.3546371091977,-0.8684164177688768,BULL_TREND,-5.869782447049586,0.35308303077284553,-63.81191346666545,0.36676256437024424,-102.23029069218805,0.28015440485691023
2025-07-09 00:00:00+00:00,1006.610262614805,4.255625505607365,BULL_TREND,0.6175147485160606,0.3634739236855985,33.92959123743959,0.24959478773344754,110.4185680397901,0.38693128858095394
2025-07-10 00:00:00+00:00,1003.1182399122604,-3.492022702544658,BULL_TREND,-1.8581490815010357,0.3237200710027961,-48.60836399553289,0.322334264170427,-98.85584124075497,0.35394566482677686
2025-07-11 00:00:00+00:00,1005.2881452958951,2.169905383634783,BULL_TREND,2.9387926044908235,0.37948701628088227,3.0078679084616535,0.2793019087461163,37.79764451673371,0.3412110749730015
2025-07-14 00:00:00+00:00,1005.3633423692189,0.07519707332377598,BULL_TREND,-3.4867091386742266,0.3593479660755363,-68.80752066524028,0.2663122029466293,-103.50941228556508,0.3743398309778344
2025-07-15 00:00:00+00:00,1010.7286154981754,5.365273128956422,BULL_TREND,2.8098202629892355,0.32468806514587156,170.36781511159109,0.3124794554432822,169.1395841867433,0.3628324794108461
2025-07-16 00:00:00+00:00,1010.7443855474451,0.01577004926974626,BULL_TREND,-3.113301203189752,0.360389502565132,12.54084690089242,0.2721633171872246,-42.98055816493074,0.36744718024764333
2025-07-17 00:00:00+00:00,1010.7102234426015,-0.034162104843479035,BULL_TREND,0.222676613442874,0.31614222926326446,-12.58612142139167,0.33169679970073623,20.62481004249812,0.3521609710359992
2025-07-18 00:00:00+00:00,1016.990076756302,6.279853313700449,BULL_TREND,-5.326680539608417,0.36046306036621634,24.32325318217776,0.2772858313881989,-24.0349046606184,0.3622511082455848
2025-07-21 00:00:00+00:00,1016.4573172317604,-0.5327595245416126,BULL_TREND,1.9913611502020694,0.3176072706125281,-24.529308071677224,0.3302643248151603,13.588940147441264,0.3521284045723116
2025-07-22 00:00:00+00:00,1012.84656483257,-3.610752399190356,BULL_TREND,-6.498368808484848,0.3600249114990129,-144.21642093699953,0.2817117465179601,-175.49139341674817,0.35826334198302695
2025-07-23 00:00:00+00:00,1011.0737129440283,-1.7728518885417093,BULL_TREND,2.937041831549829,0.3269562503611203,-130.35224868777246,0.31237266207575126,14.465489375485191,0.3606710875631283
2025-07-24 00:00:00+00:00,1012.2487341364825,1.1750211924541696,BULL_TREND,-3.4175955696408415,0.3708931458198452,-32.87722976029822,0.2625325370310386,79.92029215716894,0.3665743171491161
2025-07-25 00:00:00+00:00,1013.4128821457168,1.1641480092342562,BULL_TREND,-2.708985903803035,0.32830912138997786,-142.7033953956795,0.2895754635934781,-81.79795652175203,0.38211541501654406
2025-07-28 00:00:00+00:00,1015.6241193320367,2.2112371863198437,BULL_TREND,4.942093089220679,0.3614630772622523,-84.40962370605175,0.2537026161477561,64.28410682695292,0.3848343065899917
2025-07-29 00:00:00+00:00,1017.009325515438,1.3852061834013651,BULL_TREND,-1.0594790927303457,0.33617478265039535,31.15391541118941,0.2751225357117671,89.86323471661252,0.38870268163783755
2025-07-30 00:00:00+00:00,1018.814093932675,1.8047684172368588,BULL_TREND,1.5940532422433322,0.34736218532739194,44.92366472636774,0.25032324585490817,-30.018566932970582,0.40231456881769984
